# Monthly homogenized climate series 
# Source : Royal Meteorological Institute of Belgium 
# Variable : Monthly mean of daily minimum temperature (TN in °C) 
# Series name : DEURNE
# Series code : 201
# Format: each row contains the year followed by the 12 monthly values 
# File produced on : 2024-08-22 (YYYY-MM-DD) 
# 
YYYY,1,2,3,4,5,6,7,8,9,10,11,12
1880,-3.6,0.8,2.1,5.0,6.7,11.1,13.3,13.2,11.2,5.4,2.4,3.0
1881,-5.5,-0.1,1.9,3.1,7.8,10.1,13.6,12.1,9.9,3.6,5.8,0.6
1882,0.8,1.2,3.7,4.2,7.8,10.3,12.1,12.1,9.9,7.5,3.5,1.0
1883,1.1,2.2,-2.2,3.3,7.4,11.5,12.9,12.5,9.6,7.0,3.3,1.5
1884,3.4,2.2,2.2,2.6,7.8,9.0,14.0,13.1,11.2,5.6,0.9,1.4
1885,-3.4,2.6,-0.2,4.5,5.9,11.1,12.5,10.2,8.5,5.0,1.1,-0.6
1886,-2.1,-3.0,-0.3,4.3,8.3,10.3,12.8,12.2,11.3,7.2,4.1,-0.3
1887,-2.5,-1.8,-1.6,2.8,6.4,11.0,12.8,11.2,9.3,3.7,0.9,-2.0
1888,-2.7,-3.8,-1.5,2.1,6.7,11.3,10.0,9.8,8.1,3.9,3.6,1.3
1889,-2.0,-2.5,-0.6,4.1,10.3,12.9,12.2,12.0,8.6,5.4,2.1,-1.8
1890,1.6,-2.5,1.6,3.2,8.8,9.8,11.5,12.0,10.0,5.4,2.0,-7.6
1891,-5.2,-1.2,0.5,2.5,7.3,11.3,12.1,11.3,10.7,6.6,0.7,0.3
1892,-2.0,-0.9,-1.9,2.6,7.5,10.3,11.1,12.5,10.2,4.5,4.4,-1.8
1893,-5.1,1.2,1.8,4.3,8.4,10.4,12.9,12.9,9.4,7.3,0.3,-0.6
1894,-1.3,0.1,1.8,6.2,6.3,10.2,12.4,11.8,8.3,5.3,3.3,0.9
1895,-3.8,-8.2,-0.5,3.9,7.4,9.8,11.8,11.9,10.6,4.0,3.4,-0.6
1896,-0.6,-1.7,2.4,3.6,6.3,12.2,12.8,11.3,10.5,4.6,-0.6,-0.1
