# Monthly homogenized climate series 
# Source : Royal Meteorological Institute of Belgium 
# Variable : Monthly mean of daily minimum temperature (TN in °C) 
# Series name : EZEMAAL
# Series code : 206
# Format: each row contains the year followed by the 12 monthly values 
# File produced on : 2024-08-22 (YYYY-MM-DD) 
# 
YYYY,1,2,3,4,5,6,7,8,9,10,11,12
1913,1.6,0.3,3.3,4.0,8.0,9.9,10.5,10.1,8.7,7.4,5.9,1.4
1914,-3.7,2.8,3.0,4.3,6.8,8.7,12.4,12.4,8.0,5.0,1.4,2.8
1915,1.3,1.1,1.1,2.4,8.1,9.7,11.4,12.1,7.4,4.2,-0.6,3.0
1916,3.6,0.4,0.9,3.5,9.1,8.8,11.3,12.1,8.7,7.1,3.2,0.2
1917,-2.7,-5.8,-0.5,1.3,9.5,12.4,11.8,12.5,9.1,3.4,4.2,-3.4
1918,0.2,1.8,-0.1,5.2,9.1,7.1,11.0,11.6,9.3,5.2,1.0,3.5
1919,0.0,-2.9,1.6,2.2,6.6,9.2,10.4,11.7,9.0,2.6,0.0,1.6
1920,2.4,2.0,2.6,5.7,8.7,10.0,11.4,10.1,8.2,1.9,-2.5,-0.1
1921,3.8,-0.1,1.8,2.8,7.4,8.9,11.4,11.2,7.1,7.0,-3.3,0.4
1922,-1.3,-1.6,1.3,2.2,7.6,10.5,11.3,10.8,8.3,1.2,1.6,2.5
1923,1.6,2.9,2.8,1.8,7.3,7.9,12.7,10.8,8.6,7.8,0.9,-1.3
1924,-1.1,-2.0,0.1,3.5,9.5,10.1,11.0,10.6,10.1,7.3,1.1,1.1
1925,2.0,3.1,-0.3,3.6,8.8,8.9,12.5,12.3,7.6,4.8,0.0,-1.3
1926,0.8,4.4,1.5,4.0,6.2,9.2,12.9,11.2,10.8,4.8,4.4,-0.6
1927,1.9,0.5,2.9,4.6,6.0,9.7,12.8,12.4,10.3,5.6,2.2,-4.0
1928,1.7,1.8,0.6,3.6,5.3,9.1,10.9,12.3,4.9,5.1,4.4,0.3
1929,-3.8,-8.4,-1.0,1.4,7.5,8.9,12.0,10.9,9.4,6.4,3.0,3.3
1930,2.8,-0.9,1.6,4.5,7.4,11.3,11.6,11.2,9.8,6.6,4.5,-0.3
1931,1.0,-1.1,-1.6,3.1,9.2,9.9,11.8,11.4,6.0,3.7,3.4,0.2
1932,1.7,-2.8,-1.4,3.6,7.6,9.6,12.3,14.1,10.8,6.2,2.3,0.3
1933,-2.7,0.3,1.5,3.2,7.1,9.2,12.1,11.8,8.0,5.5,1.1,-5.7
1934,0.4,0.5,1.0,5.1,6.7,9.9,11.0,11.3,10.0,8.3,1.6,4.5
1935,1.0,1.9,0.6,4.7,5.4,11.6,11.2,10.9,9.4,5.8,3.8,0.4
1936,3.1,-1.3,1.8,2.3,6.8,10.6,12.6,11.6,8.9,3.7,3.1,1.3
1937,1.6,3.2,0.4,5.6,9.3,10.4,12.3,12.3,8.4,6.6,1.3,-0.5
