# Monthly homogenized climate series 
# Source : Royal Meteorological Institute of Belgium 
# Variable : Monthly mean of daily minimum temperature (TN in °C) 
# Series name : JALHAY
# Series code : 208
# Format: each row contains the year followed by the 12 monthly values 
# File produced on : 2024-08-22 (YYYY-MM-DD) 
# 
YYYY,1,2,3,4,5,6,7,8,9,10,11,12
1880,-5.9,1.5,0.9,4.8,5.2,10.4,12.4,12.2,10.9,4.9,1.8,3.3
1881,-6.9,0.2,1.8,2.4,6.8,8.9,13.3,12.3,9.6,3.1,6.2,0.5
1882,-0.9,0.7,3.3,3.5,7.7,10.7,12.3,12.3,10.2,7.7,3.6,1.0
1883,0.5,2.5,-3.0,3.0,7.3,10.6,12.9,12.0,10.2,6.8,3.1,-0.0
1884,2.9,2.1,2.2,2.7,7.8,8.7,14.0,13.9,11.0,5.8,0.8,1.3
1885,-3.9,3.3,-0.7,4.8,6.3,11.3,11.8,9.4,9.2,5.5,1.1,-1.2
1886,-1.7,-4.8,-0.6,4.2,7.6,10.2,12.3,11.9,10.5,8.3,3.7,-0.7
1887,-3.5,-2.8,-3.2,1.9,6.1,9.9,12.4,10.3,8.5,3.3,1.9,-2.3
1888,-4.1,-5.8,-0.8,1.9,6.6,11.3,10.5,10.3,7.0,4.0,4.2,1.3
1889,-3.4,-4.9,-2.4,3.2,9.9,12.4,11.6,11.4,7.7,5.8,1.2,-3.1
1890,1.5,-3.8,0.1,2.4,8.1,8.2,10.9,11.8,10.2,5.0,1.9,-9.6
1891,-7.8,-4.0,0.5,1.2,7.2,10.1,11.1,11.1,9.7,7.1,-0.4,0.1
1892,-1.9,-0.9,-3.0,1.5,6.7,9.1,9.7,12.2,9.9,5.0,3.4,-4.0
1893,-8.3,1.5,0.9,2.3,7.3,8.3,12.1,12.4,8.3,7.0,-0.3,-0.9
1894,-1.4,-0.5,0.7,5.6,6.2,9.6,12.5,11.3,7.9,5.5,3.1,1.2
1895,-4.9,-12.5,-1.0,3.3,6.3,8.8,11.8,11.9,10.1,4.4,4.6,-0.6
1896,-1.8,-2.2,3.0,2.7,5.5,11.1,11.7,9.6,10.3,5.6,-1.3,-0.0
1897,-1.8,0.7,3.3,3.4,6.5,12.2,11.5,13.5,9.1,5.2,1.7,-0.0
1898,0.9,0.7,0.1,3.5,7.0,9.9,10.7,13.4,8.8,7.5,2.9,2.5
1899,1.1,-0.1,-1.0,4.1,6.0,9.1,11.9,11.4,10.4,4.4,4.2,-4.4
1900,0.7,-0.9,-1.2,2.0,5.7,11.5,13.9,11.3,8.5,6.0,3.8,2.4
1901,-2.0,-7.7,0.1,4.2,5.9,9.0,12.3,11.2,9.9,5.8,0.2,-0.2
1902,1.2,-2.9,1.5,4.6,5.2,9.5,11.3,11.5,9.7,4.8,2.0,-1.5
1903,0.6,2.3,3.9,2.4,7.6,9.9,11.8,12.6,10.6,8.8,2.7,-1.1
1904,-2.4,-0.3,0.2,4.9,8.2,9.5,12.7,10.7,7.4,5.8,1.7,1.5
1905,-2.8,0.5,3.4,3.2,6.2,11.5,13.5,11.8,9.6,3.2,2.1,-0.5
1906,0.8,-0.5,-0.1,2.5,8.5,10.2,12.3,12.1,7.4,8.3,3.9,-3.7
1907,-1.7,-3.9,-0.0,2.8,7.1,9.7,9.6,11.5,8.3,8.8,2.3,1.3
1908,-4.8,0.1,-0.5,1.8,8.9,10.8,12.0,10.4,9.6,4.4,0.2,-1.9
1909,-3.6,-4.2,-0.5,3.2,4.2,8.2,11.0,11.8,8.4,7.8,-0.6,0.3
1910,0.4,0.8,-0.0,3.2,6.6,11.3,12.2,11.4,8.9,7.6,0.2,3.2
1911,-2.8,-1.0,1.5,1.4,8.0,9.7,11.9,12.8,8.3,5.4,3.5,3.6
1912,-0.3,1.4,4.5,1.6,6.5,10.4,12.6,11.0,6.1,3.5,2.7,3.2
1913,1.1,-0.3,3.5,3.5,7.9,10.6,10.7,9.6,9.5,7.4,5.8,0.5
1914,-5.5,2.6,2.9,4.0,6.5,8.0,12.7,12.2,9.0,5.8,1.6,2.9
1915,0.0,0.6,0.2,1.0,6.9,9.8,11.4,11.7,8.1,4.1,-0.9,3.5
1916,2.7,-0.8,1.4,3.5,8.6,8.3,10.4,11.8,9.3,7.0,2.4,0.1
1917,-4.1,-7.2,-2.1,0.8,9.0,12.2,11.5,12.1,9.7,3.9,3.3,-4.2
1918,-0.9,0.5,-0.0,4.7,8.7,7.1,11.3,11.3,9.5,5.0,2.0,2.9
1919,-0.6,-2.0,1.6,1.6,6.4,9.4,10.7,10.9,9.8,2.8,0.0,1.5
1920,1.2,2.2,2.9,6.0,8.8,9.5,11.2,10.0,8.9,4.4,-0.2,-0.0
1921,3.0,-0.3,1.9,2.5,8.0,9.2,11.2,11.4,8.6,8.5,-3.4,-1.1
1922,-2.6,-1.8,0.7,1.9,7.0,10.5,10.9,10.8,8.8,1.8,0.8,2.3
1923,0.7,2.0,3.0,3.1,7.5,7.7,13.5,10.5,8.8,8.0,-0.4,-2.0
1924,-2.0,-4.1,-0.3,2.8,8.6,10.7,11.7,10.5,10.5,7.5,1.9,0.4
1925,1.2,2.0,-1.5,3.6,9.2,9.8,12.9,11.9,7.6,5.2,-0.3,-0.4
1926,-0.3,4.3,1.8,4.7,6.3,9.1,13.1,11.8,11.4,5.4,4.9,-1.7
1927,1.4,-0.1,3.2,4.2,5.8,10.0,12.9,12.5,10.8,5.8,2.8,-3.4
1928,1.0,1.2,1.0,5.1,5.4,9.1,11.5,12.2,6.7,5.8,4.4,-0.4
1929,-5.4,-10.4,-1.5,1.0,7.4,9.6,12.5,11.0,11.3,6.6,3.4,3.0
1930,2.6,-2.2,1.5,4.9,6.8,12.4,12.1,11.9,10.2,7.1,4.6,-1.3
1931,0.4,-1.6,-2.5,2.7,9.0,11.1,12.7,11.5,6.5,3.6,4.0,-2.0
1932,0.1,-4.9,-2.1,3.6,7.8,10.0,12.7,14.1,11.6,6.3,2.4,0.6
1933,-3.4,-2.3,1.4,2.6,7.4,9.4,12.7,12.4,9.6,5.7,2.8,-6.0
1934,-0.4,-0.4,0.2,5.7,7.0,10.3,11.6,11.1,12.1,8.8,1.9,4.7
1935,-0.6,0.8,0.6,3.9,5.0,11.6,11.8,11.2,9.6,5.3,4.3,-0.0
1936,2.6,-2.0,2.5,2.3,6.9,10.7,12.9,11.8,10.1,4.0,2.5,0.2
1937,1.2,2.3,-0.1,4.8,8.9,10.1,12.4,12.6,9.0,7.6,1.7,-0.4
1938,0.8,-2.1,1.8,0.7,5.5,10.0,11.4,12.4,9.9,5.7,5.7,-2.4
1939,1.5,-0.9,0.3,4.8,5.1,9.0,11.7,11.4,9.1,4.6,4.5,-2.0
