# Monthly homogenized climate series 
# Source : Royal Meteorological Institute of Belgium 
# Variable : Monthly mean of daily minimum temperature (TN in °C) 
# Series name : LEUVEN
# Series code : 210
# Format: each row contains the year followed by the 12 monthly values 
# File produced on : 2024-08-22 (YYYY-MM-DD) 
# 
YYYY,1,2,3,4,5,6,7,8,9,10,11,12
1930,-999.9,-999.9,-999.9,5.9,7.5,12.1,12.1,12.9,10.3,6.7,4.7,0.9
1931,1.9,-0.9,-2.1,4.7,8.6,10.7,12.5,11.9,6.8,4.2,5.1,1.3
1932,2.4,-2.3,-1.5,4.4,7.5,10.5,12.1,14.3,11.2,6.7,3.4,2.0
1933,-3.7,0.2,1.2,4.5,7.4,11.4,13.5,13.3,10.2,7.0,2.5,-5.0
1934,1.3,2.0,1.7,5.8,7.2,11.8,13.7,11.4,11.2,8.8,2.8,5.5
1935,0.5,1.9,0.8,5.0,6.1,12.7,12.5,11.6,10.2,6.6,4.7,0.6
1936,3.2,-1.2,2.4,3.1,7.5,10.9,13.4,12.6,10.5,4.6,3.8,1.2
1937,0.8,2.7,0.8,5.9,9.4,10.5,12.7,13.2,8.9,7.6,1.9,-0.2
1938,1.6,-0.6,2.3,2.2,5.7,10.0,12.0,13.4,10.1,6.6,6.7,-0.2
1939,2.9,0.3,0.9,5.4,6.2,10.8,11.9,12.4,9.6,5.2,5.0,-0.6
1940,-9.4,-2.8,2.5,5.1,7.6,11.3,11.9,10.5,8.8,4.8,4.8,-2.3
1941,-3.6,-0.7,1.5,2.9,4.7,12.5,13.8,11.4,9.9,6.4,2.8,1.7
1942,-7.2,-5.8,0.5,4.9,7.4,9.4,12.2,13.1,10.6,9.4,3.0,2.0
1943,1.0,2.0,0.8,5.9,8.4,10.9,12.3,13.3,8.7,8.5,3.2,-0.1
1944,2.6,-0.3,0.7,5.5,5.6,10.9,13.7,14.8,9.7,7.3,4.8,0.6
1945,-7.0,4.2,3.9,5.3,9.8,11.5,12.3,12.3,11.7,7.8,2.6,1.0
1946,-1.3,2.2,1.0,3.4,8.2,9.9,12.1,11.0,10.8,5.8,4.0,-2.5
1947,-4.2,-6.6,1.7,5.2,9.0,11.9,13.9,12.8,12.0,4.1,4.9,1.8
1948,3.4,-0.3,2.9,5.1,8.3,10.8,12.9,13.2,11.4,5.7,2.4,1.2
1949,1.4,0.1,0.3,5.3,7.1,8.9,11.7,11.7,13.0,7.9,2.5,1.9
1950,-2.0,2.8,2.3,4.4,9.0,11.6,13.8,12.4,11.4,5.8,4.7,-2.7
1951,3.0,1.7,0.6,2.0,7.4,9.8,11.8,12.3,11.5,3.5,6.2,1.7
1952,0.9,-0.3,2.5,5.0,9.2,10.5,14.1,13.5,7.9,6.0,2.0,-0.2
1953,-1.1,-0.4,0.5,5.2,8.4,12.5,14.1,12.3,10.0,7.8,3.4,3.5
1954,-2.9,-2.4,3.0,1.7,6.7,10.5,11.2,12.7,10.6,8.8,2.9,3.6
1955,-1.4,-2.0,-1.3,3.4,6.4,9.8,13.6,12.7,9.6,5.4,3.2,2.0
1956,0.4,-11.7,1.7,2.1,6.9,9.7,13.3,10.7,11.3,7.7,2.4,4.1
1957,1.0,3.2,4.5,3.3,6.1,10.6,14.6,12.2,10.9,7.6,4.7,0.2
1958,0.3,1.2,-0.5,2.3,8.4,10.6,12.4,14.1,11.8,9.1,3.3,2.2
1959,-0.4,-2.1,3.3,5.7,8.6,10.3,13.0,12.4,7.6,4.7,2.5,3.5
1960,0.1,0.4,2.8,4.8,7.8,12.0,12.0,12.7,10.1,8.2,5.6,2.0
1961,0.1,2.5,2.6,7.9,7.2,10.2,11.6,12.0,13.3,8.6,3.0,-0.2
1962,1.9,-0.2,-0.5,5.1,7.7,9.1,11.5,12.3,8.4,6.1,3.1,-3.0
1963,-7.3,-7.2,1.2,4.7,6.5,11.8,12.2,12.2,10.9,6.4,6.1,-3.8
1964,-1.6,1.8,0.7,5.1,8.9,10.5,12.1,12.0,10.0,4.5,5.0,0.2
1965,1.4,-0.6,1.4,4.3,8.1,10.9,12.0,12.2,9.3,4.5,0.9,2.9
1966,-2.4,4.3,2.2,5.4,8.3,12.7,12.5,12.1,9.9,9.4,2.2,2.3
1967,1.0,2.1,3.8,2.5,7.7,10.3,12.2,12.3,10.0,9.0,1.8,0.7
1968,-0.4,0.1,2.6,4.2,7.1,10.5,12.0,13.9,11.0,9.2,3.0,-1.5
1969,2.6,-2.1,0.7,3.2,8.9,10.3,14.2,12.9,9.4,6.8,4.2,-1.8
1970,0.1,-0.3,0.1,3.3,8.5,12.2,12.2,12.1,10.2,7.9,5.6,0.0
1971,-0.2,1.1,-1.3,3.8,8.9,10.8,12.8,13.3,7.6,4.9,2.3,3.4
1972,-0.2,1.2,1.3,4.5,7.1,9.5,13.3,11.5,7.2,3.3,3.5,1.1
1973,0.4,0.0,-0.7,2.2,8.2,11.5,13.0,13.2,10.4,5.0,1.8,0.7
1974,3.1,1.8,2.6,4.2,6.1,10.2,12.3,12.1,9.9,5.2,4.2,5.7
1975,4.4,0.1,2.7,4.4,7.1,10.0,13.4,14.1,11.8,5.4,2.1,0.4
1976,2.2,0.2,-0.2,2.4,8.0,11.9,14.1,11.0,9.4,8.3,4.6,-1.4
1977,1.3,1.8,2.5,1.9,7.3,10.8,13.1,11.9,8.7,7.6,5.0,2.5
1978,0.9,-0.7,3.1,2.3,8.2,11.0,11.1,11.0,10.0,6.6,3.1,0.8
1979,-7.0,-1.6,1.8,3.7,6.9,11.3,12.0,11.7,8.4,7.5,2.6,4.4
1980,-1.7,2.8,2.1,3.6,6.8,10.6,12.6,13.1,11.3,6.6,2.8,1.4
1981,1.0,-1.2,6.0,4.5,8.3,11.2,12.8,12.4,9.8,6.4,3.5,-1.1
1982,-2.9,-0.4,2.0,3.0,7.4,12.3,13.7,13.2,11.2,8.3,6.6,1.8
1983,3.4,-1.9,2.4,5.2,7.6,11.5,15.3,13.4,10.4,6.8,1.6,1.9
1984,1.7,0.4,0.1,2.6,6.9,10.1,12.1,12.7,10.9,8.7,5.5,1.7
1985,-6.6,-4.9,1.0,4.8,8.9,10.1,12.7,11.8,10.1,6.5,0.6,3.9
1986,0.4,-7.6,0.9,2.9,8.5,11.8,12.6,11.0,6.7,7.9,5.3,2.5
1987,-5.2,-1.2,-0.3,5.7,6.0,10.8,12.8,12.3,11.2,7.2,4.2,1.5
1988,4.1,1.9,2.8,3.5,9.7,11.2,12.8,12.6,10.8,7.6,2.5,5.6
1989,1.7,1.7,4.6,3.4,8.2,10.2,13.0,12.6,10.5,9.2,1.4,1.7
1990,2.7,4.5,4.3,2.6,7.3,11.3,10.9,12.9,9.0,8.6,3.4,1.3
1991,0.3,-4.5,5.3,3.0,5.0,10.1,14.2,12.0,9.5,6.7,2.9,0.8
1992,0.2,1.6,4.1,4.6,9.6,12.0,13.7,14.3,10.5,4.2,5.2,1.9
1993,2.2,-0.1,1.1,6.5,9.9,11.5,12.8,10.7,9.6,6.2,-0.5,2.9
1994,2.6,-0.4,4.2,4.8,8.3,11.1,15.5,13.1,10.5,5.6,7.9,2.8
1995,1.6,4.0,1.8,5.2,8.0,10.8,15.1,13.7,10.7,9.6,3.5,-1.8
1996,-0.5,-1.2,-0.3,3.5,6.7,10.8,12.0,12.6,7.8,7.0,3.4,-1.5
1997,-3.8,3.7,5.0,2.1,7.9,11.6,13.0,14.9,8.1,5.7,4.2,2.8
1998,1.8,1.8,4.1,5.7,9.9,12.5,12.8,11.5,11.7,7.1,0.9,2.4
1999,3.3,-0.3,3.2,6.1,9.3,10.3,14.2,12.5,13.1,6.9,3.1,2.5
2000,1.7,2.8,3.4,5.6,11.0,11.8,12.5,13.0,12.2,8.7,5.5,3.7
2001,0.6,1.6,3.7,4.7,9.3,10.5,14.4,14.1,10.2,11.1,3.2,-0.2
2002,1.9,4.5,3.4,4.3,9.6,12.3,13.7,14.6,10.1,6.8,6.0,2.4
2003,-0.1,-2.2,3.3,3.9,9.3,13.6,14.2,14.0,8.9,3.4,5.0,1.7
2004,1.0,2.3,1.6,5.6,7.4,11.8,12.8,15.2,11.6,8.2,3.6,0.1
2005,2.4,-0.3,2.9,5.6,8.4,12.1,14.4,12.1,11.4,9.8,3.7,1.4
2006,-1.7,0.7,0.9,4.5,10.1,11.2,16.4,13.4,13.4,10.3,6.3,3.5
2007,5.2,3.5,3.7,5.8,10.0,13.6,13.5,12.4,10.0,6.1,3.8,1.3
2008,4.0,1.3,3.5,4.5,10.2,11.9,13.4,13.9,8.5,6.7,4.0,-0.1
2009,-3.3,0.7,2.0,6.9,9.1,11.3,14.3,13.2,10.4,7.0,7.4,-0.5
2010,-2.5,0.1,3.0,3.6,6.4,11.5,15.2,13.2,9.7,5.6,4.2,-3.5
2011,1.6,2.1,1.9,7.1,9.3,11.9,12.4,13.3,11.7,8.0,4.5,4.0
2012,2.8,-3.7,3.8,4.0,9.6,11.5,13.6,14.0,9.7,6.9,4.5,2.7
2013,-0.2,-0.8,-0.8,3.9,7.4,11.2,14.5,13.5,10.1,9.0,3.6,3.3
2014,3.7,4.0,3.4,7.0,8.7,10.9,15.0,12.6,11.5,10.7,5.8,2.5
2015,1.2,-0.2,2.3,3.8,7.9,11.1,14.4,14.2,9.3,5.9,7.3,7.7
2016,2.5,2.0,1.1,4.1,9.5,13.4,14.7,13.4,12.9,5.8,3.4,1.6
2017,-1.8,3.1,4.6,3.2,9.9,13.8,13.9,13.8,10.2,10.3,4.3,2.9
2018,3.5,-2.1,1.8,7.7,10.1,13.3,15.3,14.4,10.2,7.7,3.7,3.5
2019,0.8,1.9,4.9,4.7,7.1,13.2,13.9,13.9,10.1,9.2,3.6,3.2
2020,3.1,4.2,3.0,5.4,7.2,12.9,13.0,15.7,10.1,8.7,5.6,3.4
2021,1.4,1.3,2.8,2.0,7.3,13.9,14.1,13.6,11.9,7.9,3.6,3.3
2022,2.4,3.7,2.3,4.5,9.8,12.6,13.6,15.1,11.1,10.1,6.4,1.5
2023,3.3,2.0,3.8,4.6,8.9,14.0,14.4,14.6,13.9,10.2,6.2,5.4
