# Monthly homogenized climate series 
# Source : Royal Meteorological Institute of Belgium 
# Variable : Monthly mean of daily minimum temperature (TN in °C) 
# Series name : OOSTENDE
# Series code : 212
# Format: each row contains the year followed by the 12 monthly values 
# File produced on : 2024-08-22 (YYYY-MM-DD) 
# 
YYYY,1,2,3,4,5,6,7,8,9,10,11,12
1880,-2.0,0.9,2.0,4.0,6.4,8.8,11.2,12.5,10.8,6.2,2.2,2.7
1881,-5.0,-0.1,1.3,2.5,6.8,8.6,12.4,11.1,9.6,3.6,6.6,0.9
1882,1.5,1.6,3.4,3.7,6.9,9.3,11.3,11.2,9.8,7.9,4.2,1.3
1883,1.9,2.7,-2.8,3.1,6.5,10.0,11.8,11.4,9.2,6.5,3.1,0.7
1884,2.4,1.2,1.6,2.4,6.8,8.4,12.5,12.5,10.3,6.3,1.9,1.0
1885,-2.4,2.1,0.2,3.7,5.3,9.7,11.2,8.9,7.9,4.8,1.8,-0.1
1886,-1.1,-2.4,-0.8,3.6,7.3,9.2,11.3,11.6,10.1,6.8,4.6,-0.1
1887,-2.2,-2.0,-1.4,2.2,6.0,10.2,12.6,9.7,9.5,4.8,2.2,-0.5
1888,-1.5,-3.0,-0.9,1.7,5.6,9.0,9.5,9.8,8.5,3.7,4.1,0.2
1889,-1.2,-2.1,-0.9,2.7,8.2,11.3,10.8,10.5,8.1,5.4,2.4,-1.7
1890,1.5,-2.2,1.5,3.1,7.1,8.3,10.5,11.1,10.8,6.1,2.6,-7.8
1891,-4.0,-1.2,-0.1,2.2,5.5,9.1,10.7,9.6,10.4,7.4,1.6,0.4
1892,-0.6,-0.7,-2.7,2.1,6.9,8.9,9.9,10.9,9.1,5.0,4.1,-1.5
1893,-4.1,1.0,1.1,3.1,7.9,9.8,11.8,12.4,8.7,7.9,1.5,-0.2
1894,-0.3,0.1,1.2,5.0,6.1,9.3,11.5,10.8,8.4,5.7,3.8,1.8
1895,-3.2,-8.4,-0.4,3.1,6.0,8.6,11.1,10.8,9.8,5.6,3.3,0.3
1896,0.3,-1.8,2.9,3.8,6.6,10.5,11.8,10.6,10.1,5.0,-0.1,0.2
1897,-1.2,1.0,2.8,2.7,5.9,10.3,11.6,11.5,8.6,5.1,1.4,-0.2
1898,2.1,1.2,0.0,2.8,6.2,9.1,10.8,12.0,9.8,7.0,2.7,2.9
1899,1.8,-0.5,-0.9,3.4,6.5,10.0,11.5,12.3,10.2,3.9,4.9,-4.2
1900,1.4,-0.8,-0.8,3.0,6.0,9.7,12.4,10.3,8.9,6.9,3.6,2.4
1901,-1.4,-3.5,0.2,3.4,6.2,8.6,11.7,10.9,9.4,6.4,1.9,0.4
