# Monthly homogenized climate series 
# Source : Royal Meteorological Institute of Belgium 
# Variable : Monthly mean of daily minimum temperature (TN in °C) 
# Series name : LEOPOLDSBURG
# Series code : 216
# Format: each row contains the year followed by the 12 monthly values 
# File produced on : 2024-08-22 (YYYY-MM-DD) 
# 
YYYY,1,2,3,4,5,6,7,8,9,10,11,12
1881,-6.5,0.5,1.4,2.0,7.0,8.9,12.6,11.4,9.4,2.5,6.3,0.7
1882,1.0,1.0,3.2,3.3,6.6,9.8,11.3,11.8,9.4,7.4,3.7,0.8
1883,0.5,2.0,-2.9,2.4,6.9,10.2,11.7,11.4,7.9,6.6,3.5,1.0
1884,3.4,1.6,1.5,1.7,7.0,7.9,12.6,12.2,10.7,5.7,0.1,1.7
1885,-3.5,2.3,-0.9,3.7,5.1,10.2,11.1,9.0,8.0,4.3,0.9,-1.2
1886,-2.2,-3.4,-0.4,3.4,6.4,9.7,11.0,11.1,10.2,7.5,3.6,-0.9
1887,-3.1,-2.5,-2.7,1.5,5.3,9.8,11.1,9.4,8.0,3.0,1.7,-2.3
1888,-3.1,-5.3,-0.7,1.4,5.7,11.0,10.9,10.6,7.1,3.3,3.9,0.8
1889,-2.8,-3.4,-1.3,3.2,9.8,12.5,10.9,10.7,7.8,4.7,1.7,-1.9
1890,2.0,-3.1,1.4,1.6,7.3,8.7,10.9,11.3,9.5,5.1,2.3,-9.0
1891,-6.1,-2.5,0.0,1.7,6.4,10.0,10.9,10.4,8.6,5.9,-0.4,0.2
1892,-2.9,-1.6,-3.3,1.0,6.1,8.4,9.1,11.1,9.6,3.9,4.5,-2.1
1893,-7.0,1.3,0.9,2.3,7.5,9.2,11.7,11.3,7.7,6.1,-0.7,-1.2
1894,-1.7,-0.8,0.6,4.8,5.1,9.0,11.9,10.8,6.6,4.6,2.8,0.4
1895,-4.8,-9.9,-0.6,2.7,5.6,8.4,10.7,10.3,9.6,4.4,3.7,-1.5
1896,-1.4,-1.5,2.7,2.6,4.8,10.8,11.6,9.8,10.2,4.6,-0.8,-0.4
1897,-2.6,0.4,3.0,2.9,5.6,11.5,11.1,12.3,8.4,4.0,-0.3,-0.4
1898,1.1,0.3,-0.2,2.7,6.2,9.0,9.8,12.2,8.0,6.7,1.3,1.9
1899,0.7,0.0,-2.1,3.6,5.3,8.6,11.8,10.6,9.0,2.4,5.2,-4.4
1900,0.4,-1.9,-1.7,1.4,5.0,11.2,13.2,11.5,9.1,5.8,3.5,2.0
1901,-3.2,-5.2,0.1,3.7,5.9,9.4,12.6,11.3,9.6,6.1,0.7,-0.1
1902,2.1,-3.8,1.1,3.4,4.2,9.6,10.4,10.5,8.7,4.5,0.0,-2.3
1903,-0.2,1.7,1.9,1.6,7.2,9.5,11.2,11.5,9.8,8.3,2.4,-1.6
1904,-2.4,-0.5,-0.2,4.1,6.9,8.7,11.7,10.6,6.5,5.2,2.0,1.2
1905,-3.0,0.8,2.7,2.2,5.9,11.5,12.8,11.1,8.8,2.7,1.4,-0.2
1906,0.3,-1.1,-0.2,1.4,7.7,9.8,11.1,11.7,7.3,7.3,4.3,-4.0
1907,-1.5,-3.8,-0.6,1.8,6.2,8.6,8.9,10.3,7.7,7.2,1.7,0.3
1908,-6.2,-0.1,-0.5,0.4,8.1,10.5,11.5,10.0,8.4,3.9,-0.5,-2.0
1909,-3.6,-4.1,-1.5,2.6,3.8,7.9,9.9,11.3,7.9,6.4,-0.1,0.2
1910,0.7,0.5,0.0,2.4,6.6,11.5,11.3,11.0,8.5,6.2,-0.1,2.9
1911,-1.8,-0.7,1.2,1.1,7.5,9.2,11.9,12.8,7.3,4.7,3.1,2.8
1912,0.2,1.1,4.0,2.2,6.2,10.0,12.4,9.7,6.0,2.6,2.3,2.9
