# Monthly homogenized climate series 
# Source : Royal Meteorological Institute of Belgium 
# Variable : Monthly mean of daily minimum temperature (TN in °C) 
# Series name : ROCHEFORT
# Series code : 217
# Format: each row contains the year followed by the 12 monthly values 
# File produced on : 2024-08-22 (YYYY-MM-DD) 
# 
YYYY,1,2,3,4,5,6,7,8,9,10,11,12
1892,-3.8,-3.0,-4.9,-0.5,4.6,7.6,8.4,10.6,8.3,3.2,3.2,-5.3
1893,-9.1,-0.2,-1.4,-0.6,5.2,7.5,11.3,9.6,7.0,6.1,-0.7,-2.5
1894,-2.8,-2.8,-1.6,2.6,4.3,7.9,11.0,10.8,6.3,4.8,1.7,-0.1
1895,-5.9,-14.8,-3.1,1.7,4.6,8.0,10.2,10.3,8.8,2.2,2.3,-2.0
1896,-2.7,-3.7,1.3,1.6,3.0,8.9,10.0,8.5,9.1,4.1,-2.5,-1.5
1897,-3.5,-0.3,2.3,1.4,4.2,10.8,10.0,10.8,8.0,2.3,-1.8,-3.1
1898,-1.6,-1.5,-2.1,0.5,5.0,8.7,9.1,10.6,5.5,5.6,0.7,0.5
1899,-0.6,-2.0,-3.3,1.3,3.7,7.6,10.3,9.7,8.0,1.2,3.2,-5.9
1900,-1.0,-3.1,-3.5,-0.1,3.3,9.1,11.5,9.3,6.9,3.4,2.0,0.7
1901,-4.1,-7.9,-2.4,1.6,3.9,7.6,10.7,9.2,7.9,4.0,-0.9,-1.6
1902,0.2,-5.4,-0.8,1.8,2.1,7.5,8.9,8.6,6.9,2.3,-0.6,-3.6
1903,-1.5,-0.1,0.4,-0.6,5.0,7.5,9.5,9.5,7.9,6.0,1.1,-3.2
1904,-3.9,-2.1,-2.4,2.1,5.0,7.2,10.5,8.5,5.3,3.2,0.2,-0.2
1905,-4.3,-1.3,0.5,0.4,3.9,9.5,11.3,9.1,7.2,0.6,-0.0,-2.1
1906,-1.1,-2.7,-2.1,-0.1,5.5,7.9,10.1,9.9,5.9,5.9,2.7,-4.6
1907,-2.9,-5.1,-1.9,0.4,4.5,7.5,7.8,8.9,6.8,5.9,1.1,-0.7
1908,-6.6,-1.7,-2.4,-0.7,6.4,9.4,10.3,8.5,7.2,2.3,-1.0,-3.2
1909,-4.6,-5.1,-2.6,1.1,2.4,6.6,8.7,9.6,6.6,5.2,-1.6,-1.1
1910,-0.9,-1.2,-1.8,0.8,4.6,9.7,9.8,9.2,7.0,4.7,-0.8,1.4
1911,-3.8,-2.5,-0.9,-0.4,5.5,7.7,10.7,11.2,7.0,3.5,1.4,1.5
1912,-1.4,-0.3,1.9,0.2,4.7,8.6,10.9,8.5,4.3,0.9,0.5,0.4
1913,-0.7,-2.7,1.4,1.5,5.5,9.1,8.9,7.4,7.4,5.7,4.3,-0.9
1914,-7.0,0.7,0.6,2.0,4.4,7.0,10.6,10.2,6.6,3.4,0.6,0.8
1915,-1.5,-0.9,-1.5,-0.9,5.1,8.2,9.2,9.3,6.2,2.5,-2.4,2.2
1916,1.6,-2.3,-1.2,1.1,6.1,6.9,9.0,9.7,7.0,5.5,0.3,-1.5
1917,-5.1,-9.9,-3.3,-1.5,7.4,10.2,10.7,9.8,7.2,1.6,2.6,-7.0
1918,-3.8,-2.5,-2.8,2.8,6.4,4.8,9.1,9.3,7.0,2.9,-0.7,1.4
1919,-1.0,-4.5,0.2,-0.6,4.2,7.4,9.1,8.7,7.3,0.3,-1.6,-0.5
1920,-1.0,-1.2,-0.2,2.9,6.4,7.9,8.0,6.7,5.7,1.3,-3.7,-1.4
1921,1.2,-2.4,-1.9,0.5,5.5,7.3,9.2,8.3,6.5,5.2,-5.7,-2.3
1922,-3.4,-2.9,-0.5,0.1,4.3,8.2,8.5,7.8,6.4,0.2,-0.9,0.2
1923,-0.5,1.1,1.2,0.1,5.0,5.8,11.5,8.9,6.3,4.8,-1.4,-2.9
1924,-3.9,-5.0,-2.5,0.2,5.0,8.3,8.4,8.2,7.5,4.8,-0.6,-2.0
1925,-0.3,1.6,-3.4,0.8,4.8,6.3,10.5,9.7,4.8,2.7,-2.4,-2.5
1926,-1.3,1.9,0.0,1.3,3.4,7.2,10.3,7.8,8.9,3.0,3.2,-3.5
1927,0.1,-1.8,0.6,1.3,2.8,7.9,11.1,9.9,9.0,3.4,1.5,-4.6
1928,0.4,0.1,-0.8,2.6,3.6,6.9,9.2,9.8,3.9,4.1,3.2,-1.0
1929,-6.5,-11.5,-4.1,-1.5,4.9,8.1,10.5,8.2,8.4,4.9,1.5,1.9
1930,0.6,-3.6,-0.5,2.2,4.7,9.8,10.6,9.5,8.8,5.2,3.0,-1.9
1931,-1.1,-3.9,-4.1,0.3,6.6,8.6,10.7,10.0,4.6,0.5,2.2,-3.2
1932,-1.5,-6.3,-4.1,1.2,5.2,8.2,10.9,12.0,10.3,4.8,1.1,-1.4
1933,-4.6,-3.7,-0.8,-0.4,5.1,7.0,10.2,9.6,7.3,4.1,-0.3,-7.8
1934,-1.7,-2.8,-1.8,2.7,4.7,8.5,10.0,8.9,8.9,6.7,0.1,3.8
1935,-1.5,-0.8,-1.7,2.2,3.4,10.5,10.1,8.8,7.9,3.3,2.6,-1.0
1936,1.4,-3.9,0.2,0.4,5.3,8.8,11.2,9.6,8.5,1.3,1.5,-1.8
1937,0.1,1.1,-1.6,3.4,7.0,9.0,10.6,10.8,7.2,5.5,0.2,-1.7
1938,-0.7,-3.0,-1.2,-1.4,3.8,7.8,9.9,10.2,7.9,3.5,4.5,-4.1
1939,1.0,-2.0,-1.6,2.5,3.7,7.7,9.3,10.2,7.4,3.8,4.0,-2.8
1940,-12.4,-4.5,-0.5,2.1,4.9,7.8,10.1,7.3,6.7,2.3,2.6,-5.1
1941,-6.3,-3.2,-1.2,0.4,1.9,9.9,11.6,8.6,7.5,3.5,0.2,-0.7
1942,-10.2,-9.1,-1.7,1.8,4.5,7.0,10.5,10.2,8.6,7.2,0.6,-0.7
1943,-0.7,-0.8,-1.7,2.9,5.5,8.2,10.0,10.8,6.7,5.3,0.5,-1.7
1944,1.1,-4.5,-4.5,2.6,1.8,8.2,11.7,11.4,7.6,5.1,1.9,-2.2
1945,-9.6,0.8,0.8,2.4,5.9,9.2,9.8,9.4,9.2,4.5,0.7,-0.6
1946,-5.6,0.8,-1.0,0.4,5.4,8.0,10.7,9.1,7.8,4.0,2.5,-3.8
1947,-5.5,-9.2,-0.3,2.0,7.0,10.2,11.6,9.7,8.9,1.0,2.5,0.0
1948,1.7,-2.2,-1.1,3.0,5.7,9.3,10.8,10.3,7.9,1.8,-0.6,-2.5
1949,-1.2,-3.8,-4.0,2.7,4.1,6.4,8.7,9.4,11.1,5.1,-0.2,-0.3
1950,-4.5,0.9,-1.4,1.2,6.0,10.3,11.4,10.1,8.7,3.2,1.9,-4.6
1951,0.8,-0.3,-1.8,-0.0,4.8,8.9,9.8,10.0,8.5,0.6,4.0,-1.1
1952,-1.6,-3.0,0.1,1.5,5.0,7.7,10.9,10.5,5.9,2.9,0.3,-2.3
1953,-3.1,-3.5,-3.1,1.3,5.1,9.7,10.5,8.8,6.5,5.3,0.1,0.7
1954,-5.6,-4.8,-0.1,-2.1,3.6,8.5,9.6,9.6,7.8,5.4,0.9,1.5
1955,-3.0,-5.2,-4.3,-0.8,3.9,8.5,11.5,9.7,6.7,2.3,-0.8,-0.3
1956,-1.8,-16.8,-1.0,-0.7,4.2,7.5,10.7,7.8,8.3,4.1,-0.5,1.7
1957,-2.5,1.3,1.9,0.1,2.9,8.1,12.4,9.3,8.6,3.9,2.2,-1.6
1958,-2.2,-1.0,-4.2,-0.7,5.9,8.0,10.4,11.0,9.5,5.1,1.4,-0.2
1959,-2.8,-5.0,-0.2,2.0,5.1,7.7,9.8,9.6,4.0,0.3,0.6,1.4
1960,-2.5,-2.6,1.3,1.6,5.5,9.3,8.6,9.6,6.6,5.4,3.6,-0.7
1961,-2.1,0.2,-1.4,5.3,4.9,8.2,8.8,9.0,11.0,6.4,0.7,-2.3
1962,-0.3,-2.9,-4.6,2.2,4.0,6.1,9.1,8.9,5.9,3.2,-0.1,-4.9
1963,-9.9,-10.2,-0.9,2.0,4.0,9.6,9.2,8.8,8.4,2.7,3.9,-7.7
1964,-4.4,-0.6,-2.1,1.4,5.3,7.6,9.6,9.3,7.2,1.8,2.7,-2.5
1965,-0.4,-4.6,-1.0,1.2,5.1,8.8,10.1,9.4,7.1,1.3,-0.6,1.2
1966,-4.5,3.0,-0.9,3.5,5.7,9.5,9.6,8.6,6.6,7.2,-0.8,0.2
1967,-2.1,-0.4,1.0,-0.9,5.3,7.4,10.4,9.6,7.5,6.6,-0.4,-3.1
1968,-3.1,-1.5,0.2,-0.3,4.2,7.5,10.6,11.0,8.7,6.4,1.2,-4.0
1969,0.3,-4.9,-0.9,0.6,6.4,7.3,11.8,10.5,6.6,3.1,1.2,-4.4
1970,-2.0,-3.3,-2.1,0.9,5.7,9.3,9.8,10.0,7.4,5.7,3.5,-3.1
1971,-2.8,-1.7,-5.0,0.5,6.1,7.6,8.9,10.0,4.8,1.6,-0.9,0.0
1972,-2.1,-1.2,-1.8,1.8,5.0,7.2,11.5,9.4,4.5,0.5,1.5,-1.5
1973,-2.3,-2.3,-4.5,0.0,6.0,8.8,10.9,10.0,8.0,2.2,-1.1,-2.0
1974,1.0,-1.2,1.0,-0.5,3.2,7.2,9.0,9.4,7.3,3.8,2.7,3.3
1975,1.9,-3.3,0.8,2.5,3.8,7.8,10.4,11.8,9.5,2.5,-1.1,-2.8
1976,0.3,-3.1,-4.3,-1.6,3.8,8.3,11.2,7.0,6.5,4.6,3.2,-3.9
1977,-0.3,-0.3,-0.2,-1.3,4.3,9.0,10.0,10.0,4.3,4.8,2.3,0.0
1978,-1.1,-2.5,0.6,-0.5,5.5,8.0,9.0,7.9,5.6,3.8,0.1,-1.5
1979,-7.8,-2.8,0.1,1.0,4.8,9.9,9.7,8.9,5.7,5.1,-0.1,2.4
1980,-3.5,0.0,0.0,0.0,2.8,8.4,10.3,10.6,7.9,3.0,0.6,-1.7
1981,-1.6,-4.8,3.9,2.0,5.6,8.9,11.4,10.5,6.8,4.1,1.7,-2.3
1982,-4.0,-3.8,-1.3,-0.8,4.9,9.9,10.8,9.3,8.7,5.8,3.5,0.2
1983,0.7,-4.5,-0.1,2.1,5.7,9.6,12.7,9.8,7.0,3.3,-1.2,-1.0
1984,-0.1,-2.7,-3.6,-1.1,4.1,7.3,8.7,9.5,8.4,6.1,3.9,-0.5
1985,-10.0,-6.4,-1.1,1.7,6.5,8.2,10.2,8.2,6.6,3.1,-1.6,1.3
1986,-1.7,-10.9,-2.2,0.3,5.2,9.5,9.9,7.9,3.6,4.2,2.6,-0.6
1987,-6.8,-3.7,-3.3,1.8,2.7,8.5,10.8,9.7,9.5,5.6,2.5,-0.8
1988,2.7,-1.0,0.4,-0.3,6.7,8.9,10.2,9.5,9.1,6.0,-0.2,4.5
1989,-0.9,-2.0,1.9,1.7,5.2,8.0,10.6,10.1,7.9,6.3,-0.1,-0.8
1990,0.4,1.6,1.1,-0.2,4.8,9.4,8.7,10.5,6.2,6.0,2.0,-0.1
1991,-1.4,-7.9,2.0,-1.1,2.4,8.2,12.7,9.9,7.5,3.4,0.7,-1.7
1992,-2.2,-1.6,0.4,0.6,5.4,8.8,10.6,11.6,6.6,1.8,2.4,-0.2
1993,-0.3,-3.5,-3.5,2.7,7.2,8.7,10.2,6.4,7.6,4.9,-2.9,1.4
1994,0.9,-3.2,0.5,1.4,5.9,8.3,13.1,10.1,7.7,2.7,5.5,0.8
1995,-0.8,1.6,-1.3,2.0,4.8,8.1,13.1,10.7,7.4,6.7,0.1,-3.3
1996,-3.4,-3.8,-3.1,-1.2,4.6,8.0,9.1,10.1,5.1,3.9,1.6,-3.3
1997,-6.0,0.4,1.8,-1.2,5.3,9.5,10.4,12.4,5.3,2.6,1.8,1.4
1998,-0.2,-3.1,-0.2,3.0,5.7,9.9,9.9,8.3,9.3,4.5,-2.2,0.2
1999,0.3,-2.9,0.9,2.5,6.5,8.0,11.6,10.2,10.3,5.1,-0.3,0.5
2000,-1.1,-0.5,0.9,2.8,8.3,9.0,10.1,10.7,9.2,6.2,3.9,1.8
2001,-1.1,-0.4,2.4,1.8,7.0,7.7,11.6,10.9,7.4,8.0,0.2,-2.8
2002,-2.2,2.4,-0.1,1.2,6.4,10.0,10.9,12.5,5.7,4.5,3.7,1.9
2003,-2.2,-6.1,-0.3,-0.3,6.5,11.4,11.4,11.2,4.7,1.4,2.3,-0.5
2004,-1.9,-0.3,-1.3,2.7,3.9,8.8,10.3,12.7,8.3,5.5,1.2,-2.5
2005,-0.5,-3.0,0.2,2.0,5.7,9.2,12.0,9.5,8.1,6.7,1.7,-1.0
2006,-4.8,-1.5,-1.2,1.6,8.6,10.2,15.4,11.6,10.6,8.1,3.8,1.3
2007,3.2,2.1,0.8,1.9,8.7,12.5,11.4,10.8,7.4,4.8,1.5,0.2
2008,1.9,-1.7,2.0,2.3,9.3,9.6,10.6,10.5,5.3,2.9,1.3,-1.9
2009,-6.6,-1.6,-0.4,3.2,5.3,7.8,11.2,9.1,6.9,4.0,5.5,-1.7
2010,-4.1,-1.9,0.1,-0.3,4.0,9.1,11.9,10.3,7.1,3.9,2.3,-5.2
2011,-0.3,-0.3,-1.2,3.1,6.0,9.9,10.4,10.8,8.9,4.8,0.7,1.4
2012,0.1,-7.1,0.5,1.3,7.5,10.0,11.1,11.3,5.5,4.4,2.6,1.2
2013,-1.0,-2.2,-2.9,1.2,5.5,9.0,12.2,9.9,6.6,7.3,1.3,-0.4
2014,1.4,0.4,-1.0,2.3,5.7,8.7,12.5,10.1,8.3,6.7,3.6,0.6
2015,-0.9,-2.1,-1.1,0.5,5.0,9.0,12.3,11.6,6.6,4.3,4.4,4.6
2016,-0.3,0.6,-0.5,1.5,6.4,11.7,12.7,10.5,8.3,3.5,1.9,-3.5
2017,-6.1,-0.4,0.4,-1.6,7.2,10.8,11.3,10.7,6.7,6.6,1.4,1.1
2018,2.4,-4.6,-1.0,3.2,7.0,10.8,11.7,10.3,5.2,3.6,1.1,1.0
