# Monthly homogenized climate series 
# Source : Royal Meteorological Institute of Belgium 
# Variable : Monthly mean of daily minimum temperature (TN in °C) 
# Series name : CHIMAY
# Series code : 218
# Format: each row contains the year followed by the 12 monthly values 
# File produced on : 2024-08-22 (YYYY-MM-DD) 
# 
YYYY,1,2,3,4,5,6,7,8,9,10,11,12
1910,-0.5,-0.1,-0.5,2.2,6.2,10.4,10.4,10.4,7.9,5.6,0.2,1.8
1911,-4.0,-1.8,0.6,1.2,7.1,8.7,12.3,13.0,8.8,5.2,2.1,2.1
1912,-0.6,0.8,3.0,1.9,6.6,9.3,11.5,8.8,4.8,2.7,0.9,1.2
1913,-0.2,-1.2,2.1,2.7,6.7,8.4,8.9,9.1,8.7,6.7,4.6,-0.9
1914,-5.7,1.1,1.0,4.1,4.7,7.8,11.4,11.8,7.7,4.8,0.6,1.6
1915,-0.8,-0.6,-0.6,1.1,7.2,10.0,9.3,10.5,7.5,3.6,-1.7,2.8
1916,1.7,-1.5,0.0,2.6,7.3,6.4,9.5,10.2,8.4,5.3,1.3,-1.1
1917,-4.9,-7.1,-2.8,-0.8,8.6,11.2,10.9,10.4,9.2,2.3,2.9,-5.4
1918,-2.1,-0.3,-0.6,3.0,8.2,5.9,9.9,10.6,8.2,3.9,0.2,2.3
1919,-1.3,-3.1,0.4,0.4,6.7,8.1,8.7,10.3,9.4,2.1,-0.7,0.8
1920,-0.4,0.6,1.6,4.4,6.7,8.6,9.7,7.9,7.7,4.4,-1.1,-1.1
1921,2.2,-1.3,0.6,1.8,7.2,8.4,11.6,10.7,7.5,7.2,-3.2,-1.3
1922,-3.1,-2.3,-0.1,1.2,6.4,9.0,9.8,9.5,7.7,1.5,0.5,0.7
1923,-0.7,1.4,1.9,2.3,5.2,5.7,12.4,10.0,8.0,6.4,-0.8,-2.6
1924,-2.2,-4.1,-0.4,2.1,7.9,9.2,10.3,9.2,9.1,6.2,1.0,-0.7
1925,0.0,0.7,-2.3,2.8,7.3,8.1,11.9,11.3,6.4,4.5,-1.0,-2.3
1926,-1.3,3.1,0.3,4.1,5.3,7.7,11.7,10.5,10.6,3.8,3.3,-3.0
1927,0.1,-1.1,2.2,3.1,5.3,8.6,11.6,11.4,9.6,4.9,1.1,-4.0
1928,-0.5,0.0,0.0,3.0,4.7,8.1,11.1,11.1,6.8,4.8,3.4,-1.4
1929,-5.6,-9.5,-0.7,0.2,6.6,8.7,11.3,10.5,11.3,5.5,1.4,0.7
1930,0.1,-2.6,0.6,3.3,5.9,10.9,10.3,10.7,9.3,5.5,3.0,-1.4
1931,-1.5,-3.3,-2.5,1.6,7.5,9.7,10.5,10.1,6.0,3.0,2.8,-1.9
1932,-0.2,-5.1,-2.1,1.9,6.2,9.2,11.2,13.6,9.8,4.8,1.3,-0.2
1933,-3.6,-2.1,1.7,2.7,6.5,8.8,11.9,11.8,9.4,5.6,0.5,-6.8
1934,-1.5,-2.4,-1.2,4.1,6.2,9.9,11.3,10.5,10.2,6.5,1.4,3.7
1935,-1.6,-1.4,-0.5,3.0,4.8,10.2,11.5,10.9,8.7,4.3,3.2,-1.3
1936,0.9,-2.1,1.5,1.1,6.8,9.7,10.9,11.5,9.4,2.8,1.8,-0.8
1937,0.2,0.7,-1.0,4.0,8.0,9.3,10.6,11.7,8.7,6.2,1.0,-1.4
1938,-0.5,-1.9,3.2,0.6,4.7,9.1,10.1,11.6,9.4,5.2,5.4,-3.0
1939,1.0,-0.5,-0.5,4.3,5.4,9.1,10.1,11.3,8.9,4.3,3.9,-2.5
1940,-10.3,-3.2,1.1,3.7,6.2,9.3,10.3,8.6,7.1,3.7,2.2,-4.3
1941,-5.5,-3.4,0.6,1.1,3.0,10.6,12.0,9.5,9.1,4.8,1.2,-0.2
1942,-7.6,-7.8,-0.5,3.1,6.3,8.3,10.6,11.8,9.9,7.9,1.2,0.1
1943,-0.6,0.0,0.4,4.7,6.8,8.8,10.7,11.7,7.9,6.7,0.6,-2.0
1944,0.9,-3.5,-2.1,3.8,4.2,8.8,11.6,13.0,8.2,5.1,2.0,-1.2
1945,-9.1,3.2,3.1,3.9,7.1,9.3,11.1,9.9,9.0,6.2,1.8,0.2
1946,-4.3,1.2,0.3,3.6,6.4,8.3,10.8,10.2,9.3,4.5,1.9,-3.9
1947,-5.8,-7.1,-0.9,3.4,7.6,9.9,11.9,12.3,9.4,3.5,1.9,0.1
1948,2.3,-1.0,1.4,3.8,7.6,9.7,10.8,10.8,8.9,4.3,2.2,0.0
1949,-0.2,-1.1,-1.7,4.8,5.0,7.9,10.7,10.3,11.8,7.2,0.7,-0.3
1950,-3.1,1.0,0.8,2.4,7.3,11.4,12.2,11.3,9.0,4.7,2.1,-4.7
1951,0.4,-0.1,-0.8,1.6,5.7,8.9,10.4,11.1,10.1,3.4,4.2,0.1
1952,-1.6,-2.9,1.5,4.5,7.2,9.2,11.9,11.6,6.0,4.0,0.3,-2.2
1953,-3.3,-2.0,0.5,3.4,7.4,9.6,11.3,10.6,9.0,7.2,1.7,2.5
1954,-5.1,-3.5,1.5,0.8,6.3,9.2,9.2,10.4,8.8,7.2,2.2,1.8
1955,-2.5,-2.7,-2.8,2.5,4.9,9.5,12.3,11.4,8.6,4.3,1.8,0.8
1956,-1.1,-12.8,1.1,1.6,6.0,7.4,11.3,8.9,10.6,5.3,0.0,1.3
1957,-1.6,1.6,3.7,2.4,3.8,9.8,12.9,9.8,8.3,4.9,1.8,-1.8
1958,-2.1,-1.0,-3.2,0.2,7.2,8.5,11.2,11.9,10.6,6.5,1.6,0.7
1959,-2.1,-2.3,1.8,4.3,7.0,9.3,11.7,11.3,8.3,5.0,1.4,1.3
1960,-1.7,-1.2,2.1,2.8,7.8,10.3,10.0,10.6,8.5,6.5,3.9,-0.7
1961,-1.7,2.1,1.6,6.5,5.4,9.0,9.9,10.4,12.0,6.8,1.0,-1.7
1962,-0.3,-2.2,-3.3,2.8,4.6,7.8,9.5,9.5,7.2,5.1,0.4,-3.2
1963,-8.9,-7.5,0.4,3.7,5.3,9.9,10.7,10.2,9.2,4.7,4.5,-5.1
1964,-3.6,-0.1,-1.3,3.2,7.5,9.1,11.3,10.8,9.0,3.0,3.1,-2.0
1965,-1.0,-3.8,0.1,2.6,6.5,9.3,10.2,10.1,7.8,4.7,0.0,0.5
1966,-3.2,3.1,0.2,4.7,7.0,11.1,9.7,10.2,9.5,8.2,0.0,0.3
1967,-1.1,0.5,1.9,1.7,6.4,8.7,11.8,11.4,9.2,7.7,1.4,-2.2
1968,-2.3,-1.2,1.1,3.3,5.1,9.2,11.4,12.1,9.9,7.6,1.2,-3.0
1969,0.7,-3.6,0.5,2.9,7.2,8.9,13.0,12.0,9.4,6.6,2.0,-4.5
1970,-1.1,-2.3,-1.8,2.0,7.3,11.1,10.5,11.6,9.9,6.1,3.9,-1.6
1971,-1.4,-0.8,-2.3,3.5,8.6,8.8,12.0,11.6,8.2,4.8,-0.8,0.8
1972,-1.6,-0.3,1.6,2.9,6.2,8.0,12.0,10.4,6.5,3.5,2.0,-0.2
1973,-1.3,-1.8,-1.1,1.4,7.1,10.4,11.7,12.7,10.0,4.1,0.5,-1.4
1974,1.7,-0.2,2.0,3.4,5.7,8.8,10.3,11.3,8.4,3.1,2.3,2.7
1975,2.1,-0.9,1.1,2.9,5.3,8.7,11.8,13.5,10.4,4.2,0.6,-2.1
1976,0.4,-0.6,-1.9,1.7,6.6,11.6,13.2,10.6,8.6,7.0,2.8,-2.4
1977,-0.6,1.1,1.9,0.5,5.6,9.1,11.1,10.7,7.0,7.0,2.6,0.9
1978,-0.9,-3.0,1.5,1.5,6.8,9.1,9.9,9.3,7.6,5.9,0.5,-0.8
1979,-7.1,-3.0,0.6,2.6,5.7,10.2,10.6,10.1,8.0,6.9,1.2,1.9
1980,-3.3,1.7,1.1,2.2,5.4,9.2,10.6,11.7,10.0,4.3,0.6,-1.7
1981,-1.4,-3.4,4.3,3.6,7.3,9.5,11.3,11.5,9.2,4.8,2.2,-2.0
1982,-2.2,-0.6,0.7,2.0,6.4,11.2,12.6,11.1,10.4,6.4,4.2,0.0
1983,1.3,-3.7,1.4,3.5,6.1,9.8,14.7,12.1,8.8,5.5,0.7,-0.2
1984,0.1,-1.8,-1.3,1.5,5.3,8.6,10.4,11.9,8.8,6.9,5.0,0.2
1985,-8.0,-4.4,-0.9,3.1,7.7,8.8,11.4,9.8,8.5,5.7,-1.5,1.7
1986,-1.7,-9.3,-0.4,1.2,6.9,11.0,11.2,9.9,5.5,7.3,3.3,0.5
1987,-6.6,-2.0,-1.8,4.6,4.9,8.8,11.8,11.4,10.8,6.9,2.6,0.2
1988,2.4,0.0,1.7,2.4,8.4,9.9,11.1,11.4,9.5,7.2,0.5,4.1
1989,0.5,0.0,3.4,2.7,8.1,9.2,12.1,11.1,9.8,8.0,1.2,0.9
1990,0.8,2.8,2.9,2.0,7.3,9.8,10.3,12.6,6.5,7.5,2.6,-0.8
1991,-0.7,-5.5,3.8,2.0,4.0,8.1,12.8,11.5,9.8,5.5,1.0,-1.1
1992,-1.7,-0.2,2.3,3.0,8.1,10.6,12.4,12.8,8.8,3.0,3.6,0.2
1993,0.6,-2.2,-0.1,5.1,8.6,10.2,10.9,8.8,8.7,5.2,-1.4,1.0
1994,0.8,-1.2,2.4,2.9,7.2,9.3,14.7,11.9,8.9,5.1,7.0,1.5
1995,-0.5,2.1,0.5,3.3,6.9,9.2,14.2,13.2,8.4,9.2,2.0,-2.3
1996,-1.2,-3.0,-1.2,2.5,5.2,9.8,10.5,11.3,6.8,5.6,1.8,-2.5
1997,-4.4,1.4,3.8,2.0,6.8,10.5,11.5,14.7,7.7,4.6,3.3,1.4
1998,0.1,-0.1,1.7,4.2,8.7,10.7,10.8,10.2,10.6,5.6,-0.6,0.6
1999,1.1,-1.4,2.4,4.7,8.8,9.3,12.9,12.4,12.4,5.9,0.8,0.0
2000,-0.3,0.9,2.0,4.1,9.1,9.8,10.0,12.0,10.0,6.9,4.0,2.6
2001,-0.3,-0.4,2.5,2.8,7.6,8.3,11.8,12.7,7.5,10.2,0.0,-1.9
2002,-0.4,2.4,1.7,2.7,7.7,10.7,12.0,12.8,8.5,5.3,4.8,1.9
2003,-2.4,-3.3,2.6,3.1,7.6,12.6,12.5,13.5,7.3,2.6,4.0,0.5
2004,-1.1,0.1,0.4,4.6,5.5,9.7,11.3,13.6,9.7,6.8,1.9,-1.8
2005,0.2,-2.3,1.5,4.5,7.0,11.0,13.1,10.0,10.0,8.9,1.9,-0.9
2006,-3.0,-1.6,-1.5,2.9,8.0,10.4,15.5,11.3,12.1,9.4,4.5,1.2
2007,2.8,2.1,1.8,5.3,8.5,12.5,11.5,10.7,7.6,5.2,1.6,0.0
2008,1.4,0.5,1.5,3.2,9.7,10.0,11.8,12.1,7.7,4.8,2.7,-1.1
2009,-3.9,-1.0,1.0,6.1,7.4,9.8,12.3,11.6,9.5,5.3,5.6,-1.1
2010,-3.7,-1.5,1.2,2.6,5.3,10.4,13.1,11.3,8.3,5.1,2.6,-4.6
2011,0.3,0.5,1.6,6.6,7.0,10.5,10.4,11.5,10.3,6.7,4.2,1.9
2012,1.2,-5.1,3.2,2.7,8.3,10.1,11.5,12.4,7.8,6.1,3.2,1.1
2013,-1.4,-2.9,-1.5,2.8,5.8,9.9,13.6,11.3,8.7,8.5,1.9,1.7
2014,2.2,2.1,2.7,5.6,6.9,10.1,13.4,10.7,9.8,8.9,5.4,0.5
2015,-0.3,-1.2,0.9,2.8,6.2,9.2,13.0,12.7,7.9,6.2,5.7,5.6
2016,1.3,0.7,0.3,2.9,8.4,11.8,12.9,12.0,10.8,4.7,2.9,-0.2
2017,-3.4,2.0,3.5,1.3,8.4,11.6,12.3,11.9,8.2,8.0,2.1,0.9
2018,2.4,-3.9,0.4,6.1,8.7,11.9,14.4,12.1,8.2,5.4,3.0,1.7
2019,-0.5,1.2,2.8,4.0,4.8,11.9,12.2,11.5,8.3,7.9,2.2,1.5
2020,1.0,2.5,1.4,3.7,5.4,10.5,10.9,14.0,9.3,7.6,4.1,2.2
2021,-1.1,0.3,1.2,0.8,5.1,12.5,12.6,11.9,10.4,5.2,1.4,1.8
2022,0.1,1.2,2.3,3.3,8.2,10.8,11.6,13.6,9.2,8.9,4.8,0.0
2023,1.2,1.1,2.2,2.9,7.4,12.2,11.6,12.4,12.8,7.8,4.6,3.1
