# Monthly homogenized climate series 
# Source : Royal Meteorological Institute of Belgium 
# Variable : Monthly mean of daily minimum temperature (TN in °C) 
# Series name : STAVELOT
# Series code : 219
# Format: each row contains the year followed by the 12 monthly values 
# File produced on : 2024-08-22 (YYYY-MM-DD) 
# 
YYYY,1,2,3,4,5,6,7,8,9,10,11,12
1890,-0.1,-5.0,-0.9,-0.0,5.4,6.2,8.8,9.2,6.6,2.9,0.5,-9.6
1891,-7.5,-4.3,-1.8,-1.1,5.3,8.0,9.2,8.6,7.6,4.9,-1.8,-0.6
1892,-2.8,-3.2,-4.8,-0.9,4.6,7.1,8.5,9.5,7.6,2.4,2.6,-4.1
1893,-8.4,-0.1,-2.4,-0.7,4.6,5.8,10.3,10.0,6.4,5.0,-1.5,-1.8
1894,-3.2,-2.5,-1.8,2.1,3.7,7.6,10.6,10.2,6.3,3.9,1.7,0.1
1895,-6.2,-14.4,-2.2,2.2,5.0,7.7,9.5,10.6,8.7,2.6,3.6,-1.1
1896,-2.0,-4.1,1.3,0.4,2.5,7.5,9.1,7.4,8.0,3.7,-2.9,-1.2
1897,-3.5,-1.2,1.6,0.4,3.3,9.9,9.2,10.7,6.8,1.9,-1.9,-1.5
1898,-0.7,-1.5,-2.3,0.8,4.7,7.9,8.0,10.6,4.8,5.3,0.7,0.2
1899,0.1,-3.2,-4.6,1.7,3.5,6.4,8.6,9.3,8.6,0.4,2.7,-6.3
1900,-0.6,-2.9,-3.4,-0.0,3.5,9.0,11.7,9.8,6.8,3.0,2.0,1.6
1901,-4.5,-10.3,-1.0,3.4,4.1,6.5,9.5,9.7,8.6,4.1,-1.0,-1.1
1902,0.3,-6.1,-0.9,2.7,2.7,7.4,8.7,8.7,6.6,2.2,-0.9,-3.6
1903,-1.5,0.0,0.4,-0.2,4.3,7.6,8.6,10.3,7.2,6.8,1.2,-2.7
1904,-4.7,-1.1,-1.5,2.2,5.1,6.8,9.6,7.5,6.3,3.3,-0.3,0.5
1905,-5.3,-0.9,0.5,-0.1,4.0,8.8,11.3,9.0,7.4,0.7,0.5,-2.0
1906,-1.0,-2.6,-2.1,0.1,6.3,8.7,10.7,9.7,5.3,6.0,2.6,-5.0
1907,-2.3,-4.9,-1.6,0.4,4.5,6.6,7.9,9.2,6.5,7.1,0.7,1.2
1908,-8.1,-1.6,-2.5,-0.7,6.4,9.0,10.3,9.7,7.1,0.6,-1.1,-2.4
1909,-5.8,-5.4,-2.2,0.8,2.2,6.8,8.9,9.1,6.4,4.8,-2.6,0.1
1910,-1.2,-0.5,-2.2,1.0,4.7,9.5,10.0,8.3,6.7,5.4,-0.7,2.1
1911,-3.7,-2.5,-0.2,-0.5,3.9,6.9,9.1,9.9,6.6,4.6,1.4,2.0
1912,-1.5,-1.0,2.3,-0.9,4.9,8.4,9.8,8.2,4.3,1.5,1.0,1.8
1913,-0.7,-3.4,0.2,1.4,4.9,8.5,9.0,6.8,6.3,5.0,4.6,-0.0
