# Monthly homogenized climate series 
# Source : Royal Meteorological Institute of Belgium 
# Variable : Monthly mean of daily minimum temperature (TN in °C) 
# Series name : MAREDSOUS
# Series code : 220
# Format: each row contains the year followed by the 12 monthly values 
# File produced on : 2024-08-22 (YYYY-MM-DD) 
# 
YYYY,1,2,3,4,5,6,7,8,9,10,11,12
1893,-8.3,1.1,0.5,2.4,7.0,8.7,11.9,11.5,8.5,6.3,-0.6,-1.4
1894,-1.8,-1.0,1.0,5.0,6.1,9.3,11.8,11.5,7.4,5.3,2.7,0.3
1895,-4.7,-10.9,-1.7,3.6,6.5,9.5,11.2,11.0,9.3,3.4,2.9,-1.5
1896,-1.4,-2.3,3.0,2.6,4.9,10.3,11.3,9.7,9.3,4.1,-1.7,-1.0
1897,-2.6,0.6,3.1,2.5,5.1,11.4,11.5,11.6,8.3,3.9,0.0,-1.0
1898,-0.1,-0.4,-0.8,2.5,6.0,9.4,10.0,12.4,7.8,6.3,1.6,1.6
1899,0.1,-0.8,-1.5,3.6,5.7,9.0,11.0,11.3,9.7,2.4,3.8,-4.8
1900,0.3,-1.8,-1.4,1.7,5.1,10.6,12.7,11.7,7.3,4.4,3.7,2.0
1901,-2.7,-6.9,-0.4,3.3,6.1,8.7,11.5,10.4,9.8,5.8,-0.3,-0.5
1902,1.5,-3.2,2.3,5.7,4.1,8.7,9.8,10.3,8.5,4.1,0.7,-2.4
1903,-0.4,1.3,2.3,1.5,6.6,9.0,10.4,11.1,9.5,8.0,2.4,-2.1
1904,-2.4,-0.0,-0.6,4.0,6.8,8.0,11.1,9.4,6.4,5.4,0.9,1.3
1905,-3.4,0.5,2.7,2.7,5.1,11.0,12.2,10.6,9.3,2.4,1.6,-0.8
1906,0.4,-1.2,0.2,1.8,7.1,9.5,10.8,11.2,6.9,7.6,3.3,-3.4
1907,-1.6,-4.4,-0.4,2.0,6.2,8.9,9.3,10.7,7.9,7.4,2.2,0.5
1908,-6.0,-0.2,-0.6,1.9,8.4,10.7,11.7,10.0,8.4,3.6,-0.4,-2.5
1909,-3.6,-3.5,0.0,2.9,4.2,7.6,10.0,11.1,7.9,6.7,-0.7,0.4
