# Monthly homogenized climate series 
# Source : Royal Meteorological Institute of Belgium 
# Variable : Monthly mean of daily minimum temperature (TN in °C) 
# Series name : MONT-RIGI
# Series code : 222
# Format: each row contains the year followed by the 12 monthly values 
# File produced on : 2024-08-22 (YYYY-MM-DD) 
# 
YYYY,1,2,3,4,5,6,7,8,9,10,11,12
1928,-2.6,-1.4,-2.2,1.5,2.8,6.1,9.5,9.2,5.7,3.4,1.2,-3.8
1929,-8.0,-11.2,-1.7,-2.0,5.4,6.3,9.8,8.9,10.0,3.7,0.2,-0.8
1930,-1.3,-4.7,-1.4,2.0,4.0,10.0,8.5,9.3,7.4,3.9,1.2,-3.0
1931,-3.9,-6.0,-5.2,-0.3,5.9,8.1,9.0,8.6,4.2,2.0,1.4,-4.5
1932,-1.7,-6.8,-4.5,0.1,4.6,7.2,9.6,12.3,8.2,2.8,-0.1,-1.6
1933,-5.5,-4.7,-0.2,0.4,4.8,7.0,10.2,10.2,8.2,3.9,-0.9,-8.5
1934,-3.8,-4.0,-2.6,3.3,4.7,8.2,10.0,9.0,9.2,4.5,-0.4,1.7
1935,-4.0,-3.4,-2.4,0.7,3.2,8.9,10.3,9.7,7.1,2.7,1.6,-3.7
1936,-1.3,-4.3,0.1,-0.9,4.8,8.4,8.8,9.7,7.3,0.7,-0.5,-3.0
1937,-2.7,-2.1,-3.4,1.9,6.3,7.3,9.0,9.6,6.7,4.6,-0.8,-4.7
1938,-3.0,-3.9,0.7,-1.8,3.0,7.1,9.1,10.7,7.9,3.3,2.2,-5.3
1939,-2.0,-2.7,-3.2,2.2,3.2,8.1,8.6,10.3,7.4,2.0,1.4,-4.6
1940,-10.5,-6.0,-2.0,1.6,4.9,7.8,8.2,7.5,6.0,2.6,0.3,-7.2
1941,-7.9,-5.0,-1.7,-0.8,1.2,9.6,11.0,7.8,7.4,2.9,-1.5,-2.7
1942,-11.5,-10.6,-2.1,0.8,4.4,6.8,8.9,10.7,8.4,5.9,-1.2,-1.8
1943,-3.6,-2.0,-0.3,2.5,5.2,6.6,9.1,9.1,6.7,5.3,-1.6,-3.4
1944,-1.8,-7.1,-4.8,2.4,3.4,6.1,9.8,12.0,6.4,3.3,-0.7,-3.6
1945,-11.5,-0.5,0.0,2.4,6.2,8.1,10.1,9.2,8.1,5.0,-0.4,-2.8
1946,-6.7,-2.5,-1.6,2.5,5.7,5.8,9.8,8.3,7.9,3.0,-0.3,-5.8
1947,-7.9,-9.3,-2.8,1.6,7.1,9.6,11.1,12.4,9.7,3.3,0.3,-3.0
1948,-1.6,-4.4,1.4,2.0,5.4,7.8,9.3,9.1,7.0,2.9,0.7,-1.5
1949,-2.5,-2.5,-3.6,3.4,3.5,5.7,9.0,9.5,10.8,5.3,-1.8,-2.9
1950,-5.8,-2.2,-1.0,-0.5,5.0,9.8,10.0,9.9,6.5,2.6,-0.6,-7.5
1951,-2.5,-2.7,-3.5,-0.1,4.0,7.3,8.8,9.4,8.5,2.8,2.0,-1.4
1952,-4.7,-5.4,-1.6,3.1,5.5,7.3,10.1,10.1,4.1,1.9,-3.4,-5.0
1953,-6.1,-5.2,-0.5,2.0,5.5,7.9,9.5,9.2,6.9,5.7,0.4,0.4
1954,-7.1,-5.8,-0.3,-0.9,4.0,7.6,7.4,9.1,7.6,5.2,0.3,-0.6
1955,-4.9,-5.8,-5.3,0.6,3.1,7.7,10.7,10.4,7.2,2.8,0.1,-0.9
1956,-3.5,-14.1,-1.5,-0.4,5.2,5.7,10.0,7.5,8.4,3.8,-1.3,-0.7
1957,-3.8,-0.7,2.0,1.2,2.3,8.4,10.9,9.0,7.0,4.5,0.3,-3.0
1958,-3.7,-2.4,-5.2,-1.4,5.5,7.1,10.0,10.6,9.2,5.3,0.6,-0.5
1959,-3.2,-2.3,0.3,3.2,6.3,9.1,12.2,10.2,8.0,4.2,0.4,-0.8
1960,-4.1,-2.4,0.3,1.6,6.6,9.3,8.6,9.7,6.7,4.2,1.6,-3.2
1961,-4.2,0.2,0.3,4.4,3.6,7.5,8.3,9.2,10.3,5.2,-0.5,-3.6
1962,-2.8,-4.6,-5.6,1.0,3.5,6.6,8.1,8.7,5.5,4.0,-1.1,-5.0
1963,-11.0,-7.9,-1.7,1.6,3.8,8.8,10.0,8.5,7.3,2.5,2.3,-6.8
