# Monthly homogenized climate series 
# Source : Royal Meteorological Institute of Belgium 
# Variable : Monthly mean of daily minimum temperature (TN in °C) 
# Series name : UCCLE
# Series code : 224
# Format: each row contains the year followed by the 12 monthly values 
# File produced on : 2024-08-22 (YYYY-MM-DD) 
# 
YYYY,1,2,3,4,5,6,7,8,9,10,11,12
1880,-3.0,2.1,2.9,5.4,6.9,10.8,13.3,13.6,12.0,5.7,2.5,3.6
1881,-5.6,0.5,2.5,3.4,7.9,10.4,13.9,12.2,10.6,3.6,6.4,0.7
1882,0.7,1.8,4.4,4.3,7.8,10.1,12.6,12.2,10.2,7.8,3.8,1.4
1883,1.0,2.7,-2.0,4.0,8.1,11.5,12.7,12.9,10.5,7.1,3.9,1.1
1884,3.3,2.2,3.1,3.2,7.9,9.6,14.1,13.7,11.6,6.4,1.8,1.3
1885,-2.7,3.6,0.6,5.1,6.4,11.3,12.5,10.5,9.7,5.5,2.1,-0.3
1886,-1.6,-2.7,1.0,4.3,8.3,10.6,12.7,12.9,11.8,8.7,4.7,-0.1
1887,-2.0,-1.3,-1.3,3.0,6.6,10.9,13.3,11.5,9.6,4.1,2.3,-1.6
1888,-2.5,-4.5,0.0,2.8,7.2,11.6,11.6,11.8,9.2,4.8,4.7,1.8
1889,-1.6,-2.1,0.1,4.4,10.5,13.0,12.2,12.3,9.0,6.4,2.9,-1.8
1890,2.3,-2.2,2.4,3.3,8.7,9.8,11.8,12.2,11.1,6.0,2.7,-7.2
1891,-4.3,-0.6,1.4,2.5,7.3,11.3,12.2,11.5,11.1,7.7,1.6,1.6
1892,-1.9,-0.6,-1.7,2.9,7.9,9.7,10.8,12.6,10.4,5.3,4.5,-2.5
1893,-5.2,1.6,2.7,5.2,8.5,10.6,12.9,13.3,9.3,7.6,0.9,-0.1
1894,-0.3,0.3,2.8,6.8,6.2,10.1,13.1,12.4,8.6,6.3,4.1,1.9
1895,-4.1,-8.6,0.6,4.6,7.6,10.1,12.1,12.4,11.6,4.6,4.8,-0.2
1896,0.1,-0.7,3.6,3.5,6.0,11.6,12.8,10.9,10.6,5.5,-0.5,0.6
1897,-1.7,1.8,3.9,3.8,6.6,12.5,12.3,13.2,9.3,5.5,1.4,0.9
1898,1.6,0.7,0.4,4.0,6.9,10.1,10.7,13.8,10.3,7.6,3.4,2.7
1899,1.4,0.7,-0.2,4.3,6.4,9.9,12.9,12.8,9.9,4.8,5.5,-4.3
1900,1.3,-0.5,-0.3,3.1,6.0,11.3,13.5,11.8,9.6,6.1,4.0,2.8
1901,-1.5,-4.4,0.7,4.9,7.2,10.3,13.4,12.4,10.6,6.8,1.4,0.6
1902,2.2,-2.7,2.3,4.8,4.8,10.0,10.9,11.5,9.6,5.6,1.9,-1.2
1903,0.8,2.5,3.4,2.3,8.4,9.9,11.9,12.0,10.8,8.6,3.2,-1.1
1904,-1.2,0.4,0.8,5.2,7.8,9.5,13.1,11.6,8.2,6.0,2.5,2.2
1905,-1.5,1.2,3.7,3.6,7.2,12.5,13.6,12.2,9.8,3.4,2.1,0.7
1906,1.5,0.0,1.0,3.1,8.5,9.9,12.6,12.7,9.0,9.0,5.2,-2.5
1907,-0.7,-2.3,1.5,3.7,7.6,10.1,10.2,11.7,10.0,8.4,3.7,1.2
1908,-3.6,1.0,0.7,2.3,9.7,11.6,12.7,10.9,10.1,6.5,1.7,-1.1
1909,-1.9,-2.1,0.4,4.5,5.8,9.0,11.0,12.5,9.2,8.2,0.8,0.9
1910,1.1,1.3,1.7,3.8,8.0,12.4,11.7,12.1,9.9,7.9,1.2,3.8
1911,-1.4,0.7,2.3,2.8,9.1,10.2,13.8,14.9,10.2,6.5,3.4,3.6
1912,0.7,2.5,4.7,4.2,7.7,11.2,13.9,10.6,7.0,4.5,2.8,3.3
1913,1.6,0.5,4.1,4.6,8.5,10.4,10.8,11.0,9.9,8.1,6.3,1.0
1914,-3.6,3.1,3.2,5.9,7.1,9.3,13.0,12.9,9.9,6.2,2.4,2.7
1915,0.8,0.8,1.2,3.0,8.5,11.4,11.5,11.9,9.3,4.9,-0.1,3.8
1916,3.4,-0.4,1.5,4.7,8.7,8.2,11.4,12.3,9.9,7.2,3.1,0.6
1917,-3.1,-5.6,-1.0,0.8,10.1,12.7,12.5,12.3,10.0,4.3,4.2,-3.3
1918,-0.1,1.6,1.2,4.9,9.4,8.1,11.3,11.6,9.7,6.1,1.8,3.9
1919,0.1,-2.0,1.6,2.2,8.6,10.2,9.9,11.2,10.2,3.3,-0.4,1.6
1920,1.3,2.4,3.6,5.6,8.2,10.6,11.5,10.3,9.4,5.8,-0.4,-0.1
1921,3.5,0.1,3.0,3.8,8.5,10.2,13.2,12.5,9.6,9.5,-1.4,0.3
1922,-2.0,-1.4,1.5,2.8,8.5,10.7,11.4,11.3,9.2,2.8,1.5,2.4
1923,0.9,2.2,3.6,3.4,7.1,8.0,14.2,11.9,9.3,8.1,0.8,-1.2
1924,-1.4,-2.4,0.3,3.3,9.5,10.9,11.8,10.7,10.8,7.9,2.7,1.6
1925,1.2,2.2,0.0,4.2,9.2,9.8,13.4,12.2,7.8,6.3,0.2,-0.4
1926,0.4,4.4,2.7,5.6,6.7,9.6,13.7,12.3,11.9,5.2,4.6,-0.8
1927,1.7,0.2,3.8,4.3,6.5,10.1,13.5,13.0,10.6,6.7,2.3,-3.2
1928,1.1,1.5,2.2,4.5,6.6,9.9,12.1,12.5,8.2,6.2,4.7,0.0
1929,-3.9,-8.4,0.4,1.8,7.9,9.4,12.5,11.6,11.8,6.9,3.5,3.0
1930,2.6,-1.1,1.9,5.6,7.5,12.2,12.5,12.7,10.9,7.5,4.5,0.2
1931,0.7,-1.8,-0.3,3.7,9.2,11.3,12.4,12.0,7.2,4.9,4.5,0.2
1932,1.7,-2.9,-0.3,3.6,8.1,10.7,12.9,15.3,11.5,6.3,2.7,1.7
1933,-2.4,0.0,3.1,4.1,7.9,10.7,13.1,13.2,10.5,6.8,1.7,-5.6
1934,-0.1,-0.2,1.3,6.1,7.4,11.4,12.9,12.1,11.9,8.2,2.5,5.3
1935,0.5,1.0,1.4,4.8,6.5,12.6,13.0,12.6,10.7,6.1,4.9,0.3
1936,2.4,-0.7,3.9,2.9,8.2,11.4,13.2,12.8,10.8,4.6,2.7,1.0
1937,1.4,2.5,0.5,6.0,9.8,10.7,12.7,13.5,9.7,8.0,1.7,-0.1
1938,1.2,-0.4,4.3,2.3,6.3,10.9,12.1,13.5,11.0,6.3,6.6,-0.9
1939,3.1,0.7,1.5,6.0,7.3,11.3,12.5,13.4,10.7,5.8,5.5,-0.8
1940,-8.7,-2.2,2.7,6.0,8.6,12.0,11.7,10.7,8.7,5.5,4.1,-2.3
1941,-3.9,-0.1,2.5,3.4,5.4,12.6,13.9,12.3,10.5,6.8,2.8,1.5
1942,-7.3,-6.6,1.6,5.3,8.0,11.0,12.7,14.2,11.6,9.8,3.0,2.2
1943,1.4,1.4,2.6,7.0,8.8,10.7,12.7,13.5,9.9,8.9,2.0,-0.5
1944,2.5,-1.6,-0.3,5.5,6.6,10.2,13.3,14.6,9.9,6.3,3.4,-0.1
1945,-6.2,3.1,4.4,5.8,9.7,11.6,13.1,12.7,11.0,8.2,2.9,0.9
1946,-2.7,1.8,1.7,5.2,8.1,10.2,13.3,11.8,11.2,6.3,3.9,-2.4
1947,-3.5,-6.7,1.5,5.9,10.2,13.0,14.1,14.4,12.5,5.6,4.1,1.6
1948,2.9,-0.3,3.7,5.8,8.7,10.9,12.8,12.7,10.7,6.3,3.0,1.2
1949,1.5,0.9,-0.1,6.4,7.2,9.4,12.7,12.6,13.9,8.4,2.1,1.3
1950,-1.7,2.6,3.1,4.0,8.8,12.6,13.8,13.0,10.6,6.2,3.8,-3.8
1951,2.0,1.2,0.9,3.1,7.8,10.4,12.2,12.9,11.9,4.8,6.0,1.9
1952,0.0,-1.2,3.3,6.2,9.4,11.0,13.4,13.5,7.7,5.2,0.8,-1.0
1953,-1.7,-0.6,1.1,4.8,9.2,11.7,13.3,12.5,10.2,8.5,3.6,3.8
1954,-2.9,-2.3,3.6,3.0,8.2,11.2,11.2,12.5,10.3,9.0,3.4,3.0
1955,-1.4,-2.5,-1.2,4.5,6.5,10.6,13.8,13.5,10.8,6.0,3.2,1.6
1956,0.0,-10.9,2.3,2.2,7.9,9.2,13.2,10.7,11.8,7.2,2.0,3.4
1957,0.7,3.0,5.9,4.4,6.4,11.5,14.1,12.3,10.3,7.1,3.9,0.0
1958,0.0,0.6,-0.4,2.4,8.8,10.8,12.8,13.7,12.5,7.9,2.7,1.9
1959,-1.0,-2.0,4.3,6.1,8.9,10.9,13.7,13.1,9.9,7.4,2.7,2.4
1960,-0.3,0.5,3.2,4.9,8.9,11.9,11.4,12.5,10.1,8.1,5.1,1.1
1961,-0.1,3.4,3.5,7.9,7.0,10.6,11.6,12.5,13.7,8.7,2.4,-0.5
1962,1.1,-0.8,-0.5,4.8,7.0,9.4,11.3,12.0,9.4,7.1,2.2,-2.6
1963,-8.0,-6.0,2.6,5.1,7.0,11.6,12.4,11.9,10.5,6.5,5.8,-3.6
1964,-2.0,1.3,0.7,5.6,9.7,11.3,12.9,12.4,11.0,4.9,4.7,0.2
1965,0.7,-0.9,2.0,4.6,8.5,11.1,11.7,12.0,9.6,6.8,1.0,2.2
1966,-1.8,4.0,2.5,6.1,8.8,13.1,12.1,12.0,10.4,9.4,2.0,1.7
1967,0.9,2.5,3.4,3.4,8.5,10.8,13.5,12.8,10.8,9.2,1.7,-0.2
1968,-0.5,-0.4,2.8,5.1,7.1,11.1,12.3,13.7,11.3,9.5,2.8,-2.0
1969,2.4,-2.0,0.7,3.8,9.1,10.4,14.1,13.2,11.0,8.7,3.8,-2.5
1970,0.6,-0.7,0.2,3.3,9.1,12.9,12.4,12.6,11.4,7.9,5.6,0.1
1971,0.8,1.2,-0.1,4.4,9.8,10.6,13.8,13.4,9.6,6.7,2.4,2.9
1972,-0.2,1.4,3.2,5.0,8.1,10.0,13.7,12.2,8.4,5.2,3.6,2.1
1973,0.9,0.2,1.9,3.2,8.7,12.2,13.5,13.8,11.5,6.0,2.2,0.7
1974,3.4,1.8,3.0,5.4,7.3,10.8,11.9,12.6,9.7,4.8,4.1,4.7
1975,3.7,0.3,2.6,4.6,7.3,10.6,13.8,14.8,11.8,5.7,2.1,0.0
1976,1.7,0.5,0.2,3.4,9.0,13.0,14.8,12.6,10.3,8.6,4.3,-1.4
1977,0.9,2.4,4.1,2.6,7.8,11.0,13.2,12.2,9.3,8.8,4.2,2.8
1978,0.5,-1.1,3.4,3.5,8.8,11.0,11.6,11.3,9.8,8.1,3.2,0.9
1979,-5.2,-2.0,2.0,4.6,7.5,11.4,12.4,11.8,9.8,8.3,2.8,3.6
1980,-1.5,2.9,2.4,4.3,7.3,11.1,12.2,13.6,12.0,6.0,2.0,0.5
1981,0.5,-1.6,6.1,4.7,8.9,11.3,13.1,12.8,11.0,6.2,3.5,-1.4
1982,-0.1,0.7,2.2,4.0,8.5,12.8,14.5,13.5,12.4,8.4,5.7,1.3
1983,3.1,-2.0,2.9,5.5,8.0,12.8,16.4,14.2,11.2,7.7,3.5,2.0
1984,1.1,0.2,1.1,4.4,7.5,10.6,12.5,13.8,10.3,8.2,6.7,2.2
1985,-6.3,-3.7,0.7,4.9,9.2,10.2,13.1,11.7,10.5,7.5,-0.1,3.6
1986,-0.1,-6.4,1.1,3.0,8.7,12.2,13.1,11.6,7.3,8.5,5.2,2.3
1987,-4.6,-0.4,-0.5,7.1,6.8,10.6,13.2,13.0,11.8,7.7,4.1,1.6
1988,3.9,1.7,2.6,4.2,10.2,11.4,12.6,13.0,11.1,8.4,2.4,5.5
1989,2.0,1.9,5.0,3.7,9.9,11.0,13.8,13.0,11.8,9.6,2.4,2.7
1990,2.6,4.7,4.7,3.8,9.6,11.4,12.5,14.3,8.8,9.0,3.8,1.3
1991,1.0,-3.3,5.9,4.2,5.9,9.8,14.6,13.5,11.5,7.4,2.9,1.2
1992,0.4,1.6,3.8,5.0,10.4,12.4,14.0,14.2,10.4,4.7,4.8,1.9
1993,2.4,-0.2,2.1,7.4,10.4,12.3,12.7,11.1,10.3,6.7,0.5,2.5
1994,2.4,-0.1,3.8,5.2,8.9,11.6,16.4,13.4,10.5,6.6,8.1,2.8
1995,1.2,3.8,2.0,5.6,8.7,11.1,16.1,15.6,10.8,10.3,4.0,-1.4
1996,0.1,-1.1,0.2,5.0,7.0,12.0,12.9,13.3,8.8,7.6,3.0,-1.3
1997,-3.0,3.5,5.2,3.9,8.9,12.3,13.3,16.1,9.7,6.6,4.8,2.7
1998,2.1,2.3,4.1,6.1,10.9,12.4,12.6,11.9,12.0,6.8,0.7,2.2
1999,3.2,0.0,4.0,6.4,10.3,11.1,14.9,13.4,14.0,7.5,3.3,2.1
2000,1.7,2.4,3.6,5.9,11.3,12.0,12.1,13.6,12.0,8.6,5.4,3.8
2001,1.0,1.7,3.5,4.9,9.6,10.7,14.5,14.7,9.7,11.2,3.3,0.2
2002,1.9,4.2,3.7,5.1,9.8,12.5,14.0,14.9,10.9,6.8,6.2,2.4
2003,-0.3,-1.2,4.6,5.4,9.3,14.4,14.8,15.4,10.0,4.0,5.4,2.1
2004,0.6,2.5,2.7,6.6,8.3,11.9,13.2,15.4,11.9,8.6,3.6,0.4
2005,2.2,0.2,3.3,6.6,8.9,13.2,14.3,12.4,12.4,10.7,4.0,1.4
2006,-0.9,0.3,0.9,5.1,10.2,12.3,17.5,13.3,13.9,10.6,6.1,3.2
2007,4.7,3.8,3.9,7.9,10.5,14.0,13.2,13.0,10.1,7.0,3.8,1.6
2008,3.8,2.0,3.2,4.8,11.9,11.9,13.8,13.9,10.1,6.7,4.3,0.4
2009,-2.4,0.7,2.7,7.8,9.6,12.2,14.5,13.7,11.4,7.5,7.2,0.1
2010,-2.4,0.0,3.2,5.0,7.2,12.6,15.6,13.2,10.1,6.3,3.9,-3.1
2011,1.3,2.1,2.9,8.5,9.6,12.1,12.4,13.1,12.1,8.4,5.2,3.4
2012,2.5,-3.1,4.7,4.4,10.0,11.5,13.5,14.4,10.0,7.5,4.7,2.4
2013,-0.1,-0.8,-0.2,4.4,7.4,11.6,15.4,13.9,10.2,9.4,3.7,3.3
2014,3.4,3.9,4.7,7.7,9.4,12.1,15.5,12.6,12.2,10.7,6.2,2.0
2015,0.8,0.1,2.8,5.1,8.3,11.5,14.6,14.6,9.8,7.0,7.2,7.5
2016,2.4,2.0,2.1,4.5,10.0,13.3,14.7,13.9,13.2,6.5,3.8,2.1
2017,-1.5,3.2,5.5,3.9,10.6,14.2,14.1,14.0,10.3,10.0,4.0,2.3
2018,3.4,-1.8,2.0,8.2,11.2,13.5,16.4,14.7,10.6,8.3,4.4,3.5
2019,1.2,2.8,5.1,6.2,7.6,13.4,14.8,14.2,10.7,9.1,3.8,3.1
2020,2.9,3.7,3.0,6.6,8.4,13.0,13.2,16.2,11.0,8.7,6.3,3.6
2021,0.9,1.7,3.3,2.8,7.2,14.2,14.3,13.4,12.2,7.8,3.5,3.2
2022,1.8,2.9,3.6,5.3,10.2,12.9,13.8,16.1,11.0,10.3,6.3,1.6
2023,2.9,2.7,3.6,5.1,9.3,14.8,14.2,14.1,14.2,9.8,5.7,4.8
